date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:46	21519/21519	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:45%20GMT	https://one.encodeinfotech.com/Pages/BlankPage	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Pages/BlankPage.html	(from https://one.encodeinfotech.com/)
18:35:53	27247/27247	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:51%20GMT	https://one.encodeinfotech.com/Pages/Invoice	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Pages/Invoice.html	(from https://one.encodeinfotech.com/)
18:35:55	24013/24013	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:54%20GMT	https://one.encodeinfotech.com/Pages/Pricing	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Pages/Pricing.html	(from https://one.encodeinfotech.com/)
18:36:03	2795/2795	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:36:01%20GMT	https://one.encodeinfotech.com/Pages/NotFound	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Pages/NotFound.html	(from https://one.encodeinfotech.com/)
18:36:16	34227/34227	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:36:15%20GMT	https://one.encodeinfotech.com/Components/Calendar	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Components/Calendar.html	(from https://one.encodeinfotech.com/)
18:36:26	20337/20337	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a7a-4f71%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js	C:/Users/Bhra%20Khoby/Desktop/Actual/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js	(from https://one.encodeinfotech.com/)
18:36:26	86927/86927	---M--	200	added ('OK')	application/javascript	etag:%22af301a17b793d31:0%22	https://ajax.aspnetcdn.com/ajax/jquery/jquery-3.3.1.min.js	C:/Users/Bhra%20Khoby/Desktop/Actual/ajax.aspnetcdn.com/ajax/jquery/jquery-3.3.1.min.js	(from https://one.encodeinfotech.com/)
18:36:28	50731/50731	---M-Z	200	added ('OK')	application/javascript	etag:%221525106755%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.1/js/bootstrap.min.js	C:/Users/Bhra%20Khoby/Desktop/Actual/stackpath.bootstrapcdn.com/bootstrap/4.1.1/js/bootstrap.min.js	(from https://one.encodeinfotech.com/)
18:36:38	3/3	---MCZ	200	added ('OK')	application/javascript	etag:%221d431b6eff1d803%22	https://one.encodeinfotech.com/js/custom.js	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/js/custom.js	(from https://one.encodeinfotech.com/)
18:36:38	968/968	---MCZ	200	added ('OK')	application/javascript	etag:%221d44b64cc7acdc8%22	https://one.encodeinfotech.com/js/demo.js	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/js/demo.js	(from https://one.encodeinfotech.com/)
